@RELATION safe-tweets

@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE hasPhoto 	 NUMERIC 
@ATTRIBUTE RetweetCount 	 NUMERIC 
@ATTRIBUTE class 	{Safe, Unsafe}

@DATA
0,0,0,4,0,1,Unsafe
0,1,6,0,0,0,Unsafe
0,0,0,0,0,1,Safe
0,0,2,0,0,0,Unsafe
0,0,0,0,0,0,Safe
1,0,0,0,0,26289,Safe
1,0,0,0,0,103311,Safe
1,0,0,0,0,42184,Safe
1,0,0,0,1,31498,Safe
1,0,0,0,0,92050,Safe
1,0,0,0,0,28868,Safe
1,0,0,0,0,39407,Safe
1,0,0,0,0,46291,Safe
1,0,0,0,0,28595,Safe
1,0,0,0,0,37296,Safe
1,0,0,0,0,12482,Safe
1,0,0,0,0,14687,Safe
1,0,0,0,0,7461,Safe
1,0,0,0,0,9195,Safe
1,0,0,0,0,45161,Safe
1,0,0,0,0,19220,Safe
1,0,0,0,0,8163,Safe
1,0,0,0,0,25389,Safe
1,0,0,0,0,44812,Safe
1,0,0,0,0,34100,Safe
0,0,0,0,0,4,Safe
0,0,0,0,0,14,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,20,Safe
0,0,0,0,0,11,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,15,Safe
0,0,0,0,0,1,Safe
0,1,2,0,0,1,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,291,Safe
0,0,2,0,0,203,Safe
0,0,0,0,0,300,Safe
0,1,0,0,0,126,Unsafe
0,0,0,0,0,200,Safe
0,1,2,0,0,204,Unsafe
0,0,0,0,0,234,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,23,Safe
1,0,0,0,0,0,Safe
1,0,0,0,1,1,Safe
1,0,0,0,1,2,Safe
1,0,0,0,0,1,Safe
1,2,3,0,0,6,Unsafe
1,0,0,0,1,3,Unsafe
1,0,0,0,0,12,Unsafe
1,1,6,0,0,5,Unsafe
1,0,0,0,1,2,Safe
1,0,2,0,0,3,Unsafe
1,0,0,0,1,3,Safe
1,0,0,0,1,2,Safe
1,0,2,0,0,2,Unsafe
1,0,0,0,0,1,Safe
1,0,0,0,0,3,Safe
1,0,0,0,0,3,Safe
1,0,0,0,0,4,Safe
1,0,0,0,0,1,Safe
1,0,0,0,1,3,Safe
1,1,6,4,0,1,Unsafe
1,0,0,0,0,13,Safe
1,0,0,0,0,12,Safe
1,0,0,0,0,4,Safe
1,0,0,0,0,4,Safe
1,0,0,0,0,4,Safe
1,0,0,0,0,7,Safe
1,0,0,0,0,6,Safe
1,0,0,0,0,197,Safe
1,0,0,0,0,111,Safe
1,0,0,0,0,2929,Safe
1,0,0,0,0,84,Safe
1,0,0,0,0,279,Safe
1,0,0,0,0,163,Safe
1,0,0,0,0,150,Safe
1,0,0,0,0,230,Safe
1,0,0,0,0,256,Safe
1,0,0,0,0,130,Safe
1,0,0,0,0,119,Safe
1,0,0,0,0,646,Safe
1,0,0,0,0,915,Safe
1,0,0,0,0,8,Safe
1,0,0,0,0,1,Safe
1,0,0,0,0,75,Safe
1,0,0,0,0,8,Safe
1,0,0,0,0,22,Safe
1,0,0,0,0,20,Safe
1,0,0,0,0,0,Safe
1,0,0,0,0,7,Safe
1,0,0,0,0,283,Unsafe
1,0,0,0,0,3,Safe
1,0,0,0,0,11,Safe
1,1,2,0,0,3,Unsafe
1,0,0,0,0,23,Safe
1,0,0,0,0,2,Safe
1,0,0,0,0,0,Safe
1,1,2,0,0,1,Unsafe
1,0,0,0,0,1,Safe
1,0,0,0,0,13,Safe
1,0,0,0,0,15,Safe
1,0,0,0,0,3,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,4,Safe
0,0,0,0,0,1,Safe
